WHO Region Code,WHO Region,Country Code,Country,Year,Sex,Alcohol total per capita (15+) consumption in liters (numeric),Alcohol total per capita (15+) consumption in liters (low estimation),Alcohol total per capita (15+) consumption in liters (high estimation),Alcohol total per capita (15+) consumption in liters (string)
SEAR,South-East Asia,BGD,Bangladesh,2019,Both sexes,0.0,0.0,0.0,0 [0 – 0]
SEAR,South-East Asia,BGD,Bangladesh,2019,Female,0.0,0.0,0.0,0 [0 – 0]
SEAR,South-East Asia,BGD,Bangladesh,2019,Male,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Both sexes,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Female,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Male,0.0,0.0,0.0,0 [0 – 0]
AFR,Africa,MRT,Mauritania,2019,Both sexes,0.0,0.0,0.0,0 [0 – 0]
AFR,Africa,MRT,Mauritania,2019,Female,0.0,0.0,0.0,0 [0 – 0]
AFR,Africa,MRT,Mauritania,2019,Male,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Both sexes,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Female,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Male,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SOM,Somalia,2019,Both sexes,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SOM,Somalia,2019,Female,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,SOM,Somalia,2019,Male,0.0,0.0,0.0,0 [0 – 0]
EMR,Eastern Mediterranean,AFG,Afghanistan,2019,Female,0.003,0.002,0.015,0.003 [0.002 – 0.015]
EMR,Eastern Mediterranean,LBY,Libya,2019,Female,0.007,0.0,0.044,0.007 [0 – 0.044]
EMR,Eastern Mediterranean,YEM,Yemen,2019,Female,0.009,0.003,0.038,0.009 [0.003 – 0.038]
EMR,Eastern Mediterranean,AFG,Afghanistan,2019,Both sexes,0.013,0.009,0.056,0.013 [0.009 – 0.056]
EMR,Eastern Mediterranean,AFG,Afghanistan,2019,Male,0.022,0.015,0.093,0.022 [0.015 – 0.093]
EMR,Eastern Mediterranean,LBY,Libya,2019,Both sexes,0.027,0.0001,0.17,0.027 [0.0001 – 0.17]
EMR,Eastern Mediterranean,YEM,Yemen,2019,Both sexes,0.034,0.011,0.14,0.034 [0.011 – 0.14]
EMR,Eastern Mediterranean,EGY,Egypt,2019,Female,0.037,0.026,0.063,0.037 [0.026 – 0.063]
EMR,Eastern Mediterranean,LBY,Libya,2019,Male,0.047,0.0002,0.29,0.047 [0.0002 – 0.29]
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Female,0.047,0.026,0.11,0.047 [0.026 – 0.11]
EMR,Eastern Mediterranean,YEM,Yemen,2019,Male,0.059,0.02,0.24,0.059 [0.02 – 0.24]
SEAR,South-East Asia,IDN,Indonesia,2019,Female,0.063,0.027,0.15,0.063 [0.027 – 0.15]
SEAR,South-East Asia,BTN,Bhutan,2019,Female,0.077,0.021,0.18,0.077 [0.021 – 0.18]
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Female,0.093,0.062,0.16,0.093 [0.062 – 0.16]
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Female,0.095,0.016,0.18,0.095 [0.016 – 0.18]
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Female,0.1,0.048,0.2,0.1 [0.048 – 0.2]
EMR,Eastern Mediterranean,MAR,Morocco,2019,Female,0.13,0.094,0.21,0.13 [0.094 – 0.21]
